English,French,Ewondo - AGLC,Prefixe nominal,Word: mot,Prefixe,Stem: radical de base,Suffixe,Nominal class,Gender,Part of speech,Notes
reward,récompense,aan (m-/m-),m-/m-,a-an,,a-,an,cl6a/cl6a,Gender-3j,nom,
palm,palmiste,baǹ (n-/min-),n-/min-,ban,,ban,ø,cl3/cl4,Gender-2,nom,
hairy,chevelu,sili (e-/bi-),e-/bi-,sil-i,,sil-,i,cl7/cl8,Gender-4,nom,
cage,cage,fɔi (e-/bi-),e-/bi-,fo-i,,fo-,i,cl7/cl8,Gender-4,nom,
canot,canoe,al (m-/by-),m-/by-,al,,al,ø,cl6a/cl8a,Gender-11,nom,
matter,affaire,am (dz-/m-),dz-/m-,am,,am,ø,cl5a/cl6a,Gender-3b,nom,
fondue pot,caquelon,fulafan (ø-/ø-),ø-/ø-,fulafan,,fulafan,ø,cl9/cl10,Gender-5,nom,
sister of a girl or brother of a boy,sœur de la fille ou frère du garçon,anyaǹ (m-/bə-),m-/bë-,a-nyan,a,-nyan,ø,cl1/cl2,Gender-1,nom,
watch,montre,was (ø-/m-),ø-/m-,was,,was,ø,cl9/cl6a,Gender-7a,nom,
competition,rivalité,ba (e-/e-),e-/e-,ba,,ba,ø,cl7/cl7,Gender-4a,nom,
resentment,rancune,ba (bi-/bi-),bi-/bi-,ba,,ba,ø,cl8/cl8,Gender-4b,nom,
cockroach,cafadeux,ba (e-/bi-),e-/bi-,ba,,ba,ø,cl7/cl8,Gender-4,nom,
catchment,captation: bád-ág ,badag (e-/bi-),e-/bi-,bad-ag,,bad-,ag,cl7/cl8,Gender-4,nom,
calamity,calamité,badəlɔg (ø-/ø-),ø-/ø-,badëlog,,badëlog,ø,cl9/cl10,Gender-5,nom,
gravel,caillouteux,bag (a-/mə-),a-/më-,bag,,bag,ø,cl5/cl6,Gender-3,nom,
shooping bag,cabas,bali zam (e-/bi-),e-/bi-,bal-i zam,,bal-i zam,ø,cl7/cl8,Gender-4,nom,
canteen,cantine,bali zəǹ (e-/bi-),e-/bi-,bal-i zën,,bal-,i- zën,cl7/cl8,Gender-4,nom,
cafeteria,cantine,bali zəǹ (e-/bi-),e-/bi-,bali zën,,bali zën,ø,cl7/cl8,Gender-4,nom,
cod,cabillaud,bam ekono (a-/m-),a-/m-,bam ekono,,bam ekono,ø,cl5/cl6a,Gendre-3a,nom,
canteen,caniculaire,bamandan (a-/mə-),a-/më-,bamand-an,,bamand-,an,cl5/cl6,Gender-3,nom,
stone,caillou,baǹ (e-/bi-),e-/bi-,ban,,ban,ø,cl7/cl8,Gender-4,nom,
callus,cal,baǹ (n-/min-),n-/min-,ban,,ban,ø,cl3/cl4,Gender-2,nom,
clot,caillot,baǹ (e-/bi-),e-/bi-,ban,,ban,ø,cl7/cl8,Gender-4,nom,
theatre play,pièce de théâtre,banda (e-/bi-),e-/bi-,band-a,,band,a,cl7/cl8,Gender-4,nom,
cannabis,cannabis,banga (ø-/ø-),ø-/ø-,bang-a,,bang,a,cl9/cl10,Gender-5,nom,
dough,pâte,bas (e-/bi-),e-/bi-,bas,,bas,ø,cl7/cl8,Gender-4,nom,
scale,écaille,bas (e-/bi-),e-/bi-,bas,,bas,ø,cl7/cl8,Gender-4,nom,
stubborn,cabochard,bayag (e-/bi-),e-/bi-,bayag,,bayag,ø,cl7/cl8,Gender-4,nom,
cackle,caquet,bəbəg (e-/bi-),e-/bi-,bë-bëg,bë,-bëg,ø,cl7/cl8,Gender-4,nom,
junior,cadet,bədan (e-/bi-),e-/bi-,bëd-an,,bëd-,an,cl7/cl8,Gender-4,nom,
capstan,cabestan,bede (e-/bi-),e-/bi-,bed-e,,bed-,e,cl7/cl8,Gender-4,nom,
be able to lift,être capable de soulever,bedəban (e-/bi-),e-/bi-,bed-ëb-an,,bed-,ëb-an,cl7/cl8,Gender-4,nom,
complement,complement,bədəga (e-/bi-),e-/bi-,bëd-ëg-a,,bëd-,ëg-a,cl7/cl8,Gender-4,nom,
caryatids,cariatide,bəgə (e-/bi-),e-/bi-,bëg-ë,,bëg-,ë,cl7/cl8,Gender-4,nom,
charring,carbonisation,bəgəle (e-/bi-),e-/bi-,bëg-ël-e,,bëg-,ël-ë,cl7/cl8,Gender-4,nom,
calcination,calcination,bəgəle (e-/bi-),e-/bi-,bëg-ël-e,,bëg-,ël-ë,cl7/cl8,Gender-4,nom,
defacing,cafardage,bəgəle (a-/mə-),a-/më-,bëg-ël-e,,bëg-,ël-ë,cl5/cl6,Gender-3,nom,
welcoming,reception,bəlan (e-/bi-),e-/bi-,bël-an,,bël-,an,cl7/cl8,Gender-4,nom,
tool,outil,bəlan (e-/bi-),e-/bi-,bël-an,,bël-,an,cl7/cl8,Gender-4,nom,
character,caractère,bəlan (a-/mə-),a-/më-,bël-an,,bël-,an,cl5/cl6,Gender-3,nom,
capital,capital,bələ (a-/mə-),a-/më-,bël-ë,,bël-,ë,cl5/cl6,Gender-3,nom,
development,développement,buli (e-/bi-),e-/bi-,bul-i,,bul-,i,cl7/cl8,Gender-4,nom,
deviated,dévié,vənge (a-/mə-),a-/më-,vënge,,vënge,ø,cl5/cl6,Gender-3,nom,
hut,cagna,bəm (e-/bi-),e-/bi-,bëm,,bëm,ø,cl7/cl8,Gender-4,nom,
shed,cabanon,bəm (e-/bi-),e-/bi-,bëm,,bëm,ø,cl7/cl8,Gender-4,nom,
cabin,cabane,bəm (e-/bi-),e-/bi-,bëm,,bëm,ø,cl7/cl8,Gender-4,nom,
kettle,cagna,bəm (e-/bi-),e-/bi-,bëm,,bëm,ø,cl7/cl8,Gender-4,nom,
hut,cahute,bəm (e-/bi-),e-/bi-,bëm,,bëm,ø,cl7/cl8,Gender-4,nom,
carbet,carbet,bəm (e-/bi-),e-/bi-,bëm,,bëm,ø,cl7/cl8,Gender-4,nom,
shed,cabanon,bəm (e-/bi-),e-/bi-,bëm,,bëm,ø,cl7/cl8,Gender-4,nom,
cabin,cabane,bəm (e-/bi-),e-/bi-,bëm,,bëm,ø,cl7/cl8,Gender-4,nom,
hut,cahute,bəm (e-/bi-),e-/bi-,bëm,,bëm,ø,cl7/cl8,Gender-4,nom,
madam,madame,anti (m-/bə-),m-/bë-,a-nti,a,-nti,ø,cl1/cl2,Gender-1,nom,
leopard,léopard,bəmə (ø-/ø-),ø-/ø-,bëm-ë,,bëm-,ë,cl9/cl10,Gender-5,nom,
dove,colombe,bəǹ (o-/a-),o-/a-,bën-,,bën-,ø,cl11/cl5,Gender-8,nom,
tasting,action de goûter,bɛse (e-/bi-),e-/bi-,bes-e,,bes-,e,cl7/cl8,Gender-4,nom,
bread,pain,bələd (ø-/ø-),ø-/ø-,bëlëd,,bëlëd,ø,cl9/cl10,Gender-5,nom,
excrement,excréments,bi (a-/mə-),a-/më-,bi,,bi,ø,cl5/cl6,Gender-3,nom,
catch,prise,bian (n-/min-),n-/min-,bi-an,,bi-,an,cl3/cl4,Gender-2,nom,
trolley,caddie,bigidi (e-/bi-),e-/bi-,big-id-i,,big-,id-i,cl7/cl8,Gender-4,nom,
quantity,capacité,bim (a-/mə-),a-/më-,bim,,bim,ø,cl5/cl6,Gender-3,nom,
actor,acteur,bɔ (m-/bə-),m-/bë-,bo,,bo,ø,cl1/cl2,Gender-1,nom,
pancreas,pancréas,bəlɔg (e-/bi-),e-/bi-,bëlog,,bëlog,ø,cl7/cl8,Gender-4,nom,
sickly,malinger,bobɔd (o-/a-),o-/a-,bo-bod,bo,-bod,ø,cl11/cl5,Gender-8,nom,
cubby hole,cagibi,bəm (e-/bi-),e-/bi-,bëm,,bëm,ø,cl7/cl8,Gender-4,nom,
fitting room,cabine d'essayage,bod (e-/bi-),e-/bi-,bod,,bod,ø,cl7/cl8,Gender-4,nom,
port,port,bod (e-/bi-),e-/bi-,bod,,bod,ø,cl7/cl8,Gender-4,nom,
plot,parcelle,boda (a-/mə-),a-/më-,bod-a,,bod-,a,cl5/cl6,Gender-3,nom,
wheedling,caresse,bodan (e-/bi-),e-/bi-,bod-an,,bod-,an,cl7/cl8,Gender-4,nom,
caress,cajolerie,bodan (e-/bi-),e-/bi-,bod-an,,bod-,an,cl7/cl8,Gender-4,nom,
caress,caresse,bodan (e-/bi-),e-/bi-,bod-an,,bod-,an,cl7/cl8,Gender-4,nom,
caress,caresse,bɔdan (a-/mə-),a-/më-,bod-an,,bod-,an,cl5/cl6,Gender-3,nom,
wheedling,cajolerie,bɔdan (e-/bi-),e-/bi-,bod-an,,bod-,an,cl7/cl8,Gender-4,nom,
mound,butte,bom (a-/mə-),a-/më-,bom,,bom,ø,cl5/cl6,Gender-3,nom,
capacity,capacité,bom (a-/mə-),a-/më-,bom,,bom,ø,cl5/cl6,Gender-3,nom,
cairn,cairn,bom (a-/mə-),a-/më-,bom,,bom,ø,cl5/cl6,Gender-3,nom,
sexual intercourse,acte sexuel,boǹ (e-/bi-),e-/bi-,bon,,bon,ø,cl7/cl8,Gender-4,nom,
snail,limaçon,bɔn (e-/bi-),e-/bi-,bon,,bon,ø,cl7/cl8,Gender-4,nom,
barking,aboiement,bon (n-/min-),n-/min-,bon,,bon,ø,cl3/cl4,Gender-2,nom,
wiring,câblage,bonga (e-/bi-),e-/bi-,bong-a,,bong-,a,cl7/cl8,Gender-4,nom,
carbonate,carbonnade,buba (a-/mə-),a-/më-,bub-a,,bub-,a,cl5/cl6,Gender-3,nom,
calamity,calamité,bubua (e-/bi-),e-/bi-,bu-bu-a,bu,-bu-,a,cl7/cl8,Gender-4,nom,
limbo,capharnaüm,bubundan (e-/bi-),e-/bi-,bu-bu-nd-an,,bu-bu-nd-,an,cl7/cl8,Gender-4,nom,
shopping bag,cabas,buda (a-/mə-),a-/më-,bud-a,,bud-,a,cl5/cl6,Gender-3,nom,
hiding place,cachette,buda (e-/bi-),e-/bi-,bud-a,,bud-,a,cl7/cl8,Gender-4,nom,
secretiveness,cachoterie,buduga (a-/mə-),a-/më-,bud-ug-a,,bud-,ug-a,cl5/cl6,Gender-3,nom,
hood,capuchon,buduga (e-/bi-),e-/bi-,bud-ug-a,,bud-,ug-a,cl7/cl8,Gender-4,nom,
